model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11538461538461539	0.943	0.318	0.364	0.967	0.337	10	653	22	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11680911680911682	0.943	0.318	0.364	0.967	0.337	10	653	22	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11823361823361823	0.943	0.318	0.364	0.967	0.337	10	653	22	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11965811965811966	0.943	0.318	0.364	0.967	0.337	10	653	22	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12108262108262109	0.943	0.325	0.364	0.967	0.341	10	654	22	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1225071225071225	0.944	0.333	0.364	0.968	0.345	10	654	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12393162393162394	0.944	0.333	0.364	0.968	0.345	10	654	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12535612535612536	0.944	0.333	0.364	0.968	0.345	10	654	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1267806267806268	0.945	0.337	0.364	0.969	0.347	10	655	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12820512820512822	0.945	0.337	0.364	0.969	0.347	10	655	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12962962962962962	0.945	0.337	0.364	0.969	0.347	10	655	21	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13105413105413105	0.945	0.338	0.357	0.970	0.344	10	655	20	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13247863247863248	0.945	0.338	0.357	0.970	0.344	10	655	20	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1339031339031339	0.946	0.340	0.357	0.970	0.346	10	655	20	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13532763532763534	0.946	0.337	0.350	0.970	0.341	9	656	20	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13675213675213677	0.946	0.338	0.350	0.971	0.341	9	656	19	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1381766381766382	0.947	0.343	0.350	0.971	0.344	9	656	19	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1396011396011396	0.947	0.347	0.350	0.972	0.346	9	657	19	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14102564102564102	0.947	0.347	0.350	0.972	0.346	9	657	19	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14245014245014245	0.947	0.349	0.350	0.972	0.347	9	657	18	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14387464387464388	0.947	0.349	0.350	0.972	0.347	9	657	18	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1452991452991453	0.948	0.358	0.350	0.973	0.351	9	657	18	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14672364672364674	0.949	0.359	0.350	0.973	0.352	9	658	18	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14814814814814817	0.949	0.362	0.350	0.974	0.354	9	658	17	18
