model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11396011396011396	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11538461538461539	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11680911680911682	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11823361823361823	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11965811965811966	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12108262108262109	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1225071225071225	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12393162393162394	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12535612535612536	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1267806267806268	0.935	0.250	0.321	0.960	0.281	9	649	27	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12820512820512822	0.935	0.250	0.321	0.960	0.281	9	649	27	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.12962962962962962	0.935	0.250	0.321	0.960	0.281	9	649	27	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13105413105413105	0.935	0.235	0.286	0.962	0.258	8	650	26	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13247863247863248	0.935	0.235	0.286	0.962	0.258	8	650	26	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1339031339031339	0.935	0.235	0.286	0.962	0.258	8	650	26	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13532763532763534	0.935	0.235	0.286	0.962	0.258	8	650	26	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.13675213675213677	0.936	0.242	0.286	0.963	0.262	8	651	25	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1381766381766382	0.936	0.242	0.286	0.963	0.262	8	651	25	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1396011396011396	0.938	0.250	0.286	0.964	0.267	8	652	24	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14102564102564102	0.938	0.250	0.286	0.964	0.267	8	652	24	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14245014245014245	0.938	0.250	0.286	0.964	0.267	8	652	24	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14387464387464388	0.938	0.250	0.286	0.964	0.267	8	652	24	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1452991452991453	0.939	0.258	0.286	0.966	0.271	8	653	23	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14672364672364674	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14814814814814817	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14957264957264957	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.150997150997151	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15242165242165243	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15384615384615385	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15527065527065528	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1566951566951567	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15811965811965814	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15954415954415954	0.940	0.267	0.286	0.967	0.276	8	654	22	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16096866096866097	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1623931623931624	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16381766381766383	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16524216524216526	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16666666666666669	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16809116809116809	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16951566951566951	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17094017094017094	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17236467236467237	0.942	0.276	0.286	0.969	0.281	8	655	21	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1737891737891738	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17521367521367523	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17663817663817666	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17806267806267806	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1794871794871795	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18091168091168092	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18233618233618235	0.943	0.286	0.286	0.970	0.286	8	656	20	20
