threshold	recall	specificity	FalsePositiveRate	precision	F1
0.246	0.229	0.976	0.024	0.402	0.292
0.254	0.229	0.976	0.024	0.402	0.292
0.267	0.229	0.976	0.024	0.402	0.292
0.250	0.229	0.976	0.024	0.402	0.292
0.259	0.229	0.976	0.024	0.402	0.292
0.263	0.229	0.976	0.024	0.402	0.292
0.224	0.229	0.974	0.026	0.389	0.288
0.220	0.229	0.974	0.026	0.389	0.288
0.216	0.229	0.974	0.026	0.389	0.288
0.211	0.250	0.974	0.026	0.417	0.313
0.207	0.250	0.974	0.026	0.417	0.313
0.203	0.271	0.974	0.026	0.432	0.333
0.198	0.271	0.972	0.028	0.413	0.327
0.194	0.271	0.971	0.029	0.402	0.324
0.190	0.271	0.969	0.031	0.391	0.320
0.181	0.333	0.968	0.032	0.424	0.373
0.185	0.292	0.968	0.032	0.400	0.338
0.172	0.375	0.966	0.034	0.442	0.406
0.177	0.333	0.966	0.034	0.414	0.369
0.168	0.375	0.965	0.035	0.427	0.399
0.164	0.375	0.965	0.035	0.427	0.399
0.159	0.417	0.963	0.037	0.446	0.431
0.155	0.417	0.963	0.037	0.446	0.431
0.151	0.417	0.959	0.041	0.417	0.417
0.147	0.417	0.959	0.041	0.417	0.417
0.142	0.417	0.957	0.043	0.410	0.413
0.138	0.417	0.956	0.044	0.400	0.408
0.134	0.438	0.953	0.047	0.393	0.414
0.129	0.458	0.951	0.049	0.402	0.428
0.125	0.458	0.951	0.049	0.402	0.428
0.121	0.458	0.948	0.052	0.389	0.421
0.116	0.458	0.948	0.052	0.389	0.421
0.112	0.458	0.946	0.054	0.381	0.416
0.108	0.479	0.943	0.057	0.381	0.424
0.103	0.500	0.943	0.057	0.390	0.438
0.099	0.500	0.942	0.058	0.384	0.434
0.095	0.500	0.936	0.064	0.360	0.419
0.091	0.500	0.934	0.066	0.355	0.415
0.086	0.500	0.928	0.072	0.335	0.401
0.082	0.500	0.922	0.078	0.317	0.388
0.078	0.521	0.919	0.081	0.317	0.394
0.073	0.542	0.913	0.087	0.309	0.394
0.069	0.562	0.907	0.093	0.301	0.392
0.065	0.562	0.896	0.104	0.280	0.374
0.060	0.562	0.888	0.112	0.267	0.362
0.056	0.604	0.876	0.124	0.258	0.362
0.052	0.604	0.864	0.136	0.241	0.345
0.047	0.604	0.832	0.168	0.206	0.307
0.043	0.625	0.777	0.223	0.172	0.270
0.039	0.625	0.726	0.274	0.147	0.238
0.034	0.625	0.677	0.323	0.128	0.212
0.030	0.646	0.609	0.391	0.109	0.187
0.026	0.646	0.557	0.443	0.098	0.170
0.022	0.646	0.474	0.526	0.083	0.147
0.017	0.729	0.393	0.607	0.081	0.146
0.013	0.750	0.323	0.677	0.075	0.136
0.009	0.771	0.274	0.726	0.072	0.132
0.004	0.771	0.179	0.821	0.064	0.118
0.000	1.000	0.000	1.000	0.068	0.127
