model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06623931623931624	0.918	0.315	0.636	0.932	0.421	28	833	61	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06730769230769232	0.919	0.318	0.636	0.933	0.424	28	834	60	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06837606837606838	0.920	0.322	0.636	0.934	0.427	28	835	59	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06944444444444445	0.921	0.326	0.636	0.935	0.431	28	836	58	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07051282051282053	0.923	0.333	0.636	0.937	0.438	28	838	56	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07158119658119659	0.924	0.337	0.636	0.938	0.441	28	839	55	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07264957264957266	0.928	0.350	0.636	0.942	0.452	28	842	52	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07371794871794872	0.930	0.359	0.636	0.944	0.459	28	844	50	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0747863247863248	0.930	0.359	0.636	0.944	0.459	28	844	50	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07585470085470086	0.932	0.368	0.636	0.946	0.467	28	846	48	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07692307692307693	0.932	0.368	0.636	0.946	0.467	28	846	48	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.077991452991453	0.933	0.373	0.636	0.947	0.471	28	847	47	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.07905982905982907	0.933	0.370	0.614	0.949	0.462	27	848	46	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08012820512820513	0.934	0.375	0.614	0.950	0.466	27	849	45	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0811965811965812	0.936	0.386	0.614	0.952	0.474	27	851	43	17
